"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"17SNB","B11",0.05,"False",-1.03658055590911,1.77353468540454,-4.38505374303374,8.56800981962308,0.934208658297151,2.22113012722236,"17SNB_B11_05_I","2020"
"20MMD","B11",0.05,"False",-0.222036305500643,0.756737615378791,-0.821938039085789,2.42132449737224,0.971284624404242,1.08302426802614,"20MMD_B11_05_I","2020"
"32TMT","B11",0.05,"False",-0.0944479444825575,0.579330821369221,-1.24655598464667,5.25320395415677,0.995607570781796,0.950179019714466,"32TMT_B11_05_I","2020"
"32UQU","B11",0.05,"False",-0.456610174646678,0.926353322652303,1.00871441467589,16.4594325209911,0.988975556529757,1.37675243553532,"32UQU_B11_05_I","2020"
"33NTG","B11",0.05,"False",-1.55314865562163,1.75027178615606,-12.7206547686456,21.4897317777285,0.995390094721641,1.71197740707345,"33NTG_B11_05_I","2020"
"34UFD","B11",0.05,"False",0.624999699323509,0.925304466691553,6.74109277023061,20.9870527758621,0.979269476281376,1.21581809131962,"34UFD_B11_05_I","2020"
"35VML","B11",0.05,"False",0.613620679192234,0.731342638256375,11.1886530498382,17.5586183443717,0.940139975164601,0.791603457962771,"35VML_B11_05_I","2020"
"49NHC","B11",0.05,"False",-2.80745174803401,3.96901009347521,-5.93730179209698,9.87974423096063,0.893522981938652,3.75425606450866,"49NHC_B11_05_I","2020"
"49UCP","B11",0.05,"False",-1.32799067103998,2.28947858091695,-72.9621035333767,85.3463000379729,0.769945169600235,3.16017747453783,"49UCP_B11_05_I","2020"
"55HEV","B11",0.05,"False",-0.3687559958564,1.24536974136098,12.7115811636208,31.9864752478649,0.97794958259376,1.74011212151379,"55HEV_B11_05_I","2020"
"10TES","B12",0.05,"False",1.03860203554817,1.20072073860611,5.71151006901923,7.92124715996191,0.989614500174702,1.16992213150112,"10TES_B12_05_I","2020"
"17SNB","B12",0.05,"False",-3.07727233655679,3.50316897372395,-17.2789714151668,19.3453231408749,0.867430334548287,3.40725360261253,"17SNB_B12_05_I","2020"
"20MMD","B12",0.05,"False",0.56459964765621,0.89309018863998,1.64929557033179,2.87749122407745,0.967000915185803,1.08200170687947,"20MMD_B12_05_I","2020"
